YEAR_MONTH,COMMISSIONER_CODE,COMMISSIONER_NAME,CONTRACT_NUMBER,PROVIDER_NAME,LATEST_PPC_ADDRESS_POSTCODE,LSOA11_CODE,UDA_PERF_TARGET,UDA_FIN_VAL,UDA_DELIVERED,LATE_SUBMITTED_FP17,UDA_DELIVERED_FD,BAND_1_DELIVERED,"BAND_2A_DELIVERED ",BAND_2B_DELIVERED,BAND_2C_DELIVERED,BAND_3_DELIVERED,BAND_URGENT_DELIVERED,BAND_OTHER_DELIVERED,CHILD_12M_COUNT,ADULT_24M_COUNT,GENERAL_DENTAL_FIN_VALUE
202311,QYG,Cheshire and Merseyside ICB,1000080000,Raby Road Dental Centre,CH64 9UZ,E01018534,19145,662069.82,2406.6,1,58.2,603,211,73,5,57,73,4,1281,5098,662069.82
202311,QMM,Norfolk and Waveney ICB,1000100000,"Jinesh Vaghela, Jiten Vaghela and K Patel",NR19 1DR,E01026426,11500,338091.64,,,,,,,,,,,,843,338091.64
202311,QXU,Surrey Heartlands ICB,1000120000,Ruta Lagunaite,RH2 9BZ,E01030623,5009,161490.76,534.8,0,0,122,41,14,5,14,14,0,497,948,161490.76
202311,QJG,Suffolk and North East Essex ICB,1000210000,"Mr S Shah, Mr P Vaid & Mr S Radia",CO15 3BW,E01021968,15000,480848.93,18,3,0,5,2,2,0,0,0,0,,175,480848.93
202311,QUY,"Bristol, North Somerset and South Gloucestershire ICB",1000260000,"The Dental Clinic, Portishead",BS20 6EH,E01032681,1359,43010.92,99.2,0,0,33,11,6,0,0,1,2,326,80,43010.92
202311,QSL,Somerset ICB,1000320000,Mr RK Hughes,BA5 1SU,E01029081,850,21529.17,56,0,0,38,6,0,0,0,0,0,396,67,21529.17
202311,QNC,Staffordshire and Stoke-on-Trent ICB,1000340000,Whitecross Dental Care Limited,WS15 2BZ,E01029404,16000,480682.98,448.4,0,0,92,55,10,0,9,27,1,497,1844,480682.98
202311,QUE,Cambridgeshire and Peterborough ICB,1000360000,Church Street Dental Practice,PE28 3EG,E01018198,4029,121822.37,246.2,0,0,142,19,4,2,0,11,0,389,1141,121822.37
202311,QM7,Hertfordshire and West Essex ICB,1000390000,Damira Dental Studios Ltd,CM23 3AL,E01023446,10255,315157.47,862.6,0,0,405,67,19,1,9,38,1,1770,3111,315157.47
202311,QPM,Northamptonshire ICB,1000410000,2:30 Ltd,NN17 1RZ,E01026949,34466,1170342.52,2192.2,0,0,684,126,137,0,23,141,0,2632,6687,1078525.86
202311,QM7,Hertfordshire and West Essex ICB,1000520000,Chigwell Dental Practice,IG7 5PZ,E01021765,9244,356906.3,802,0,0,135,50,41,0,24,20,0,633,2389,356906.3
202311,QNX,Sussex ICB,1000610000,MISS AR PATEL,BN21 4LL,E01020935,1800,57570.93,99,0,0,64,4,1,0,1,5,0,493,42,57570.93
202311,QT1,Nottingham and Nottinghamshire ICB,1000620000,McDaid & McDaid,NG9 5BA,E01028096,15050,485021.86,1140,0,0,453,104,23,0,18,35,2,1440,2943,485021.86
