_LATE_SUBMITTED_FP17,_COMMISSIONER_NAME,_COMMISSIONER_CODE,_UDA_DELIVERED,_BAND_3_DELIVERED,_UDA_DELIVERED_FD,_LATEST_PPC_ADDRESS_POSTCODE,YEAR_MONTH,_UDA_PERF_TARGET,_PROVIDER_NAME,_GENERAL_DENTAL_FIN_VALUE,_BAND_1_DELIVERED,_UDA_FIN_VAL,_CHILD_12M_COUNT,_LSOA11_CODE,_BAND_URGENT_DELIVERED,_CONTRACT_NUMBER,_BAND_OTHER_DELIVERED,_BAND_2_DELIVERED,_ADULT_24M_COUNT
0,North West London AT,Q62,1486.4,56,0,NW10 2NX,201904,22527,Dr Dipak Shah and Dr Kushal Shah,692042.51,134,692042.51,979,E01000640,92,3220080001,15,185,4600
1,North East London AT,Q61,3239.6,90,0,EN3 5JL,201904,53705,Mr K Esmail and M K Velji,1500336.07,731,1500336.07,4597,E01001439,303,1101670002,14,343,13320
1,North East London AT,Q61,1125.4,51,0,N6 4ER,201904,7614,R Patel and Partners,365590.27,201,365590.27,217,E01002011,10,9045620001,19,93,1928
0,North East London AT,Q61,3069.8,98,0,RM12 5LH,201904,33835,Kamran Madjidzadeh Aval,983913.59,682,983913.59,2356,E01002262,129,9366850001,19,346,9944
0,North East London AT,Q61,1804.4,21,0,RM13 9AB,201904,25759,Raydens Dental Surgery,606679.89,640,606679.89,2074,E01002345,147,3067110001,19,240,7514
0,North East London AT,Q61,3915.6,113,0,N1 1QN,201904,54000,Pickerings Dental Surgeries Ltd.,1809349.55,956,1809349.55,2571,E01002794,193,1018770001,17,450,18806
0,South London AT,Q63,1554.4,31,0,SE6 2LQ,201904,18534,The Penerley Road Dental Practice,624786.81,460,624786.81,1071,E01003221,82,6790030001,13,206,4202
0,Greater Manchester AT,Q46,962.4,27,0,M40 9DJ,201904,12668,Khan and Akhyar,386019.86,182,386019.86,738,E01005225,25,5712610001,16,129,2904
0,Greater Manchester AT,Q46,2825,65,0,OL16 1PZ,201904,34022,OASIS DENTAL CARE LTD,870790.35,995,870790.35,2318,E01005485,119,1012810068,17,298,7738
0,Greater Manchester AT,Q46,2084.8,39,158.6,SK6 4HT,201904,34502,Mr L Donaghy,854661.94,758,854661.94,2112,E01005904,93,1734010001,14,242,9727
0,Greater Manchester AT,Q46,1711,24,0,WN6 0JT,201904,23132,G.k.A (1996) Ltd,703015.38,687,703015.38,1693,E01006229,60,1904700005,19,208,6633
0,Greater Manchester AT,Q46,1258.6,19,0,WN2 3EA,201904,21384,Red Rose Dental Group,655116.31,376,655116.31,1460,E01006272,73,7321920004,18,183,5908
0,Merseyside AT,Q48,3186.4,107,0,L6 3AF,201904,34500,Sheil Road Dental Practice,955740.72,607,955740.72,2139,E01006695,177,1909690001,13,353,8656
0,Merseyside AT,Q48,1922.8,60,0,L19 2LW,201904,25360,Morris & Partners,669630.16,397,669630.16,1660,E01006745,109,1824190001,15,220,6544
0,Merseyside AT,Q48,2075.6,50,0,WA12 9QB,201904,25000,The Alders Dental Practice,674185.59,674,674185.59,1481,E01006867,78,6449350001,13,232,6332
1,Merseyside AT,Q48,2471.8,37,0,L23 8SN,201904,34474,OASIS DENTAL CARE LTD,981133.07,1017,981133.07,1864,E01006940,115,1012810115,14,283,8964
0,Merseyside AT,Q48,2964.4,55,246.2,PR9 0PA,201904,36616,Hoghton Street Dental Care Limited,1216485.3,1109,1216485.3,1868,E01006968,142,1459630001,24,332,10314
0,"Cheshire, Warrington and Wirral AT",Q44,1654,46,181.8,CH42 9PZ,201904,21341,Prenton Dental Practice,640455.25,378,657927.25,1125,E01007181,110,1813310001,18,184,5938
0,"Cheshire, Warrington and Wirral AT",Q44,3643.2,106,3,CH44 1BA,201904,40962,Martins Lane Dental Practice,1299644.83,579,1299644.83,2964,E01007219,151,1611520001,28,528,10835
1,South Yorkshire and Bassetlaw AT,Q51,1455.6,24,0,S71 4BY,201904,17639,TSJ Smile Limited t/a Royston Dental Practice,513415.86,422,513415.86,1260,E01007440,68,1023340001,14,214,4601
0,South Yorkshire and Bassetlaw AT,Q51,1519.2,20,0,DN1 2EX,201904,22766,Hislop and Wolverson,647050.38,518,647050.38,1319,E01007648,91,1422550001,13,211,5360
0,South Yorkshire and Bassetlaw AT,Q51,2080.4,38,140.4,S65 1DY,201904,29000,Mr Jonathan Schonberg,830499.75,632,830499.75,1864,E01007714,82,8137370001,21,291,7317
1,South Yorkshire and Bassetlaw AT,Q51,1390.2,33,113.8,S13 8LU,201904,25655,Richmond Dental Care Limited,796468.81,552,806816.5,1701,E01007963,77,1987490001,20,106,5540
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,2218.2,37,221.6,NE8 4BQ,201904,37562,InDental Practice Limited,1049212.58,712,1138512.44,2677,E01008281,146,1709410001,15,287,9267
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,2876.8,65,0,NE12 6YT,201904,58286,The Killingworth Dental Practice Partnership,1672448.17,723,1672448.17,3763,E01008504,179,1266240001,24,376,14088
3,"Cumbria, Northumberland, Tyne and Wear AT",Q49,2493,39,0,NE30 1PW,201904,36119,Perfect Smile ( Acorn ) Partnership,875911.23,874,875911.23,2027,E01008524,70,1487920001,14,352,9339
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,5730.8,139,124.8,NE33 2LX,201904,84051,South Tyneside Smiles Limited,2310638.39,1510,2316773.54,4890,E01008667,194,1766480001,13,758,18412
