YEAR_MONTH, COMMISSIONER_CODE, COMMISSIONER_NAME, CONTRACT_NUMBER, PROVIDER_NAME, LATEST_PPC_ADDRESS_POSTCODE, LSOA11_CODE, UDA_PERF_TARGET, UDA_FIN_VAL, UDA_DELIVERED, LATE_SUBMITTED_FP17, UDA_DELIVERED_FD, BAND_1_DELIVERED, BAND_2_DELIVERED, BAND_3_DELIVERED, BAND_URGENT_DELIVERED, BAND_OTHER_DELIVERED, CHILD_12M_COUNT, ADULT_24M_COUNT, GENERAL_DENTAL_FIN_VALUE
202211,"QYG","Cheshire and Merseyside ICB",1000080000,"Raby Road Dental Centre","CH64 9UZ","E01018534",19145,601205.71,1870.8,2,154.2,465,318,29,81,5,1157,4555,601205.71
202211,"QMM","Norfolk and Waveney ICB",1000100000,"Jinesh Vaghela, Jiten Vaghela and K Patel","NR19 1DR","E01026426",11500,307010.85,,,,,,,,,255,1853,307010.85
202211,"QXU","Surrey Heartlands ICB",1000120000,"Ruta Lagunaite","RH2 9BZ","E01030623",5009,146644.91,331.6,0,0,103,43,7,13,0,415,780,146644.91
202211,"QJG","Suffolk and North East Essex ICB",1000210000,"Mr S Shah, Mr P Vaid & Mr S Radia","CO15 3BW","E01021968",15000,459044.32,,,,,,,,,191,1156,459044.32
202211,"QUY","Bristol, North Somerset and South Gloucestershire ICB",1000260000,"The Dental Clinic, Portishead","BS20 6EH","E01032681",1359,39056.93,93.6,0,0,29,12,2,3,2,286,97,39056.93
202211,"QSL","Somerset ICB",1000320000,"Mr RK Hughes","BA5 1SU","E01029081",850,19429.48,67.6,0,0,49,5,0,3,0,396,142,19429.48
202211,"QNC","Staffordshire and Stoke-on-Trent ICB",1000340000,"Whitecross Dental Care Limited","WS15 2BZ","E01029404",16000,436493.77,724.8,0,0,153,101,18,39,4,781,2447,436493.77
202211,"QUE","Cambridgeshire and Peterborough ICB",1000360000,"Church Street Dental Practice","PE28 3EG","E01018198",4029,110623.24,367.4,0,0,179,26,8,12,0,411,1188,110623.24
202211,"QM7","Hertfordshire and West Essex ICB",1000390000,"Damira Dental Studios Ltd","CM23 3AL","E01023446",10255,286185.03,936.8,1,0,348,123,13,54,0,1279,2469,286185.03
202211,"QPM","Northamptonshire ICB",1000410000,"2:30 Ltd","NN17 1RZ","E01026949",31550,979376.93,2127,0,0,689,251,42,130,1,2219,6781,979376.93
202211,"QM7","Hertfordshire and West Essex ICB",1000520000,"Chigwell Dental Practice","IG7 5PZ","E01021765",9244,324095.89,708.6,0,0,220,84,19,3,1,596,2361,324095.89
202211,"QNX","Sussex ICB",1000610000,"MISS AR PATEL","BN21 4LL","E01020935",1800,52278.43,106.6,0,0,64,13,0,3,0,486,36,52278.43
202211,"QT1","Nottingham and Nottinghamshire ICB",1000620000,"McDaid & McDaid","NG9 5BA","E01028096",15050,440433.78,1143.6,0,0,396,150,21,38,0,1251,2870,440433.78
202211,"QSL","Somerset ICB",1000710000,"Yarde House Partnership","TA1 1DB","E01029289",2600,70725.93,184,0,0,88,20,3,0,0,431,408,70725.93
202211,"QT6","Cornwall and the Isles Of Scilly ICB",1000730000,"Spadental South West Limited","PL12 6AF","E01018793",19116,550023.31,62.2,0,0,28,11,0,1,0,880,2269,550023.31
202211,"QHG","Bedfordshire, Luton and Milton Keynes ICB",1000790000,"Rodericks Dental Partnership Ltd","MK40 1NN","E01017469",25000,700968.41,1572.2,0,0,322,227,14,331,0,1603,6540,700968.41
202211,"QUY","Bristol, North Somerset and South Gloucestershire ICB",1000800000,"Monika Molnar","BS25 1JF","E01014742",1200,30387.3,103.2,0,0,54,16,0,1,0,464,55,30387.3
202211,"QHG","Bedfordshire, Luton and Milton Keynes ICB",1000810000,"Rodericks Dental Partnership Ltd","LU1 2AL","E01015794",25000,685400.34,634.4,0,0,86,114,11,62,0,859,3608,685400.34
202211,"QHG","Bedfordshire, Luton and Milton Keynes ICB",1000820000,"Rodericks Dental Partnership Ltd","LU3 2NJ","E01015785",14000,390731.17,1231.8,0,0,142,279,13,79,0,1150,2154,390731.17
