_LATE_SUBMITTED_FP17,_COMMISSIONER_NAME,_COMMISSIONER_CODE,_UDA_DELIVERED,_BAND_3_DELIVERED,_UDA_DELIVERED_FD,_LATEST_PPC_ADDRESS_POSTCODE,YEAR_MONTH,_UDA_PERF_TARGET,_PROVIDER_NAME,_GENERAL_DENTAL_FIN_VALUE,_BAND_1_DELIVERED,_UDA_FIN_VAL,_CHILD_12M_COUNT,_LSOA11_CODE,_BAND_URGENT_DELIVERED,_CONTRACT_NUMBER,_BAND_OTHER_DELIVERED,_BAND_2_DELIVERED,_ADULT_24M_COUNT
0,North West London AT,Q62,2341,111,0,NW10 2NX,201907,22527,Dr Dipak Shah and Dr Kushal Shah,692042.51,168,692042.51,965,E01000640,109,3220080001,15,228,4573
0,North East London AT,Q61,1845,40,0,RM13 9AB,201907,25759,Raydens Dental Surgery,606679.89,583,606679.89,2083,E01002345,130,3067110001,12,202,7506
3,South London AT,Q63,110.4,3,0,SW14 7JU,201907,2097,MR HS SIRHA,62170.32,33,62170.32,164,E01003859,6,2209490001,14,11,546
0,South London AT,Q63,768.6,39,0,SE5 0DL,201907,7500,Camberdent Ltd,241024.61,90,241024.61,229,E01003921,0,1257680001,13,66,1989
0,Greater Manchester AT,Q46,2201.4,63,0,BL1 4AP,201907,40744,OASIS DENTAL CARE LTD,1042299.46,686,1042299.46,2147,E01004870,72,1012810175,12,224,9416
0,Greater Manchester AT,Q46,2126,72,0,M18 8HE,201907,24917,Kings Dental Centre,826168.28,367,831682.69,2458,E01005189,125,1988890001,14,237,5805
0,Greater Manchester AT,Q46,2165.4,36,0,OL8 1NN,201907,24594,"Brady, Shalin &  Naylor Partnership",930498.1,921,930498.1,1498,E01005320,72,1140220001,12,238,5939
0,Greater Manchester AT,Q46,3187.6,82,0,OL16 1PZ,201907,34022,OASIS DENTAL CARE LTD,870790.35,1013,870790.35,2361,E01005485,103,1012810068,14,345,7955
0,Greater Manchester AT,Q46,3122,70,366.4,M24 6DL,201907,39616,"Chandy, Whittingham & Casserley",1218400.34,1202,1218400.34,3467,E01005524,225,1029030001,15,265,11884
0,Greater Manchester AT,Q46,2943,81,263,SK6 4HT,201907,34502,Mr L Donaghy,854661.94,837,854661.94,2056,E01005904,104,1734010001,18,325,9583
0,Greater Manchester AT,Q46,1146.4,23,0,SK5 7EN,201907,18429,IDH 449 Limited,614944.95,383,614944.95,1307,E01005922,61,1531840001,14,134,4374
0,Greater Manchester AT,Q46,3593.2,59,0,OL6 6HD,201907,43279,"Wallace, Thomas, Hobson & Emmett Ltd",1474501.64,1402,1474501.64,4012,E01005948,251,1998930001,16,378,11919
0,Greater Manchester AT,Q46,3050.2,60,0,WN5 9DL,201907,37000,Kinshuck Family Dentistry Ltd,1118170.21,1031,1118170.21,2783,E01006353,151,1314150001,12,369,9723
0,Greater Manchester AT,Q46,2519.8,54,0,WN1 1HX,201907,40268,G.k.A (1996) Ltd,1323027.43,629,1323027.43,2331,E01006369,89,1904700007,14,367,9704
0,Merseyside AT,Q48,1371.8,39,0,L32 8UG,201907,31738,The Kirkby Family Dental Centre,842209.07,194,842209.07,1444,E01006437,164,1274500001,15,166,5412
0,Merseyside AT,Q48,2136.4,52,0,L36 9XB,201907,19995,Cromer House Dental Practice Limited,529262.28,448,529262.28,1272,E01006474,102,1766130001,14,307,5002
1,Merseyside AT,Q48,2469,62,87.6,L11 1EL,201907,34080,Muirhead Dental Practice,899896.5,551,899896.5,2581,E01006625,122,1498610001,14,338,8451
0,Merseyside AT,Q48,2062.8,69,0,L4 3RL,201907,22467,Hale Road Dental Practice Limited,593240.57,309,614240.57,1694,E01006698,129,1846320001,19,236,6098
0,Merseyside AT,Q48,2892.2,57,224,PR9 0PA,201907,36616,Hoghton Street Dental Care Limited,1216485.3,1045,1216485.3,1905,E01006968,146,1459630001,25,324,10348
0,"Cheshire, Warrington and Wirral AT",Q44,1446.4,27,0,CH63 7PJ,201907,21897,Glencairn Dental Practice,619174.35,473,619174.35,1319,E01007152,102,1076890001,16,167,6175
0,"Cheshire, Warrington and Wirral AT",Q44,1518.4,27,115.4,CH42 9PZ,201907,21341,Prenton Dental Practice,640455.25,420,657927.25,1137,E01007181,127,1813310001,16,198,5950
0,"Cheshire, Warrington and Wirral AT",Q44,3808.4,118,0,CH44 1BA,201907,40962,Martins Lane Dental Practice,1299644.83,498,1299644.83,3015,E01007219,156,1611520001,18,560,10868
0,"Cheshire, Warrington and Wirral AT",Q44,2146.6,46,214.4,CH42 8NA,201907,25485,Westbourne Dental Practice Wirral Limited,808587.79,495,808587.79,837,E01007248,148,1011040000,12,296,2201
1,South Yorkshire and Bassetlaw AT,Q51,1478,20,0,S71 4BY,201907,17639,TSJ Smile Limited t/a Royston Dental Practice,513415.86,408,513415.86,1235,E01007440,65,1023340001,18,241,4606
1,South Yorkshire and Bassetlaw AT,Q51,1889,43,0,DN1 2EX,201907,23003,Hislop and Wolverson,679662.5,585,679662.5,1323,E01007648,81,1422550001,16,223,5436
0,South Yorkshire and Bassetlaw AT,Q51,2950.2,44,159.2,S25 2EX,201907,45179,High Green & Dinnington Dental Practices,1506439.34,872,1506439.34,3101,E01007790,210,1537370003,12,414,11875
2,South Yorkshire and Bassetlaw AT,Q51,1582.6,38,158,S13 8LU,201907,25655,Richmond Dental Care Limited,796468.81,623,806816.5,1726,E01007963,88,1987490001,15,132,5532
1,South Yorkshire and Bassetlaw AT,Q51,1382.8,14,0,S6 1LA,201907,17470,MR RN KYNMAN,414187.34,542,414187.34,1269,E01008088,115,8222800002,24,177,4587
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,1947.8,47,0,DH3 1LR,201907,21272,"The Grainger Stockton, Birtley and Stanley Dental Partnershi",486780.11,508,486780.11,1333,E01008175,29,1685640001,12,269,5648
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,1844.6,62,122.4,NE10 9ND,201907,23296,Park View Family Dental,684465.16,452,684465.16,1456,E01008215,8,6013650001,12,209,6795
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,3395.6,83,0,NE6 1SD,201907,52238,Whitecross Dental Care Limited,1384101.4,903,1384101.4,3480,E01008429,188,1447700001,12,416,13939
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,4720.2,138,0,NE12 6YT,201907,58286,The Killingworth Dental Practice Partnership,1672448.17,1064,1672448.17,3891,E01008504,206,1266240001,24,575,13991
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,6771.4,177,117.4,NE33 2LX,201907,83974,South Tyneside Smiles Limited,2316773.54,1499,2316773.54,4787,E01008667,270,1766480001,32,913,18448
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,5284.8,134,118.2,NE34 6AL,201907,71215,SRDP,2038977.3,1514,2038977.3,4805,E01008668,189,1700110001,17,625,18747
3,"Cumbria, Northumberland, Tyne and Wear AT",Q49,6095.2,203,0,SR1 1QH,201907,86878,Silver and Charlton,2440948.45,1249,2440948.45,4378,E01008703,295,1508860001,32,677,19755
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,1694.8,34,0,SR2 9QF,201907,20660,Grangetown Family Dental Health,559966.95,486,559966.95,1242,E01008741,34,2306180001,15,249,4853
0,"Cumbria, Northumberland, Tyne and Wear AT",Q49,2814.8,73,85.8,DH5 0JN,201907,32937,Amit Nayyar,909707.7,590,909707.7,2605,E01008754,154,2206390001,22,381,10007
0,Birmingham and The Black Country AT,Q54,3616.2,125,200.2,B26 1BG,201907,42991,"Balbir S Bhandal, Amrik S Bhandal & Baljit S Bhandal",1023132.47,723,1023132.47,2713,E01008885,81,6386330015,13,424,10165
0,Birmingham and The Black Country AT,Q54,2633,78,0,B14 5NG,201907,32861,MR OS DHILLON,868156.41,577,868156.41,1926,E01008978,55,2536930001,16,346,7216
36,Birmingham and The Black Country AT,Q54,3084.2,153,0,B33 0HS,201907,28686,Tile Cross Dental practice,613681.71,442,613681.71,1504,E01009302,81,1721700001,13,246,6343
1,"Arden, Herefordshire and Worcestershire AT",Q53,2632.8,67,0,CV2 4ED,201907,30693,Mr R Osman & Mr AH Osman,807405.53,633,807405.53,2344,E01009615,74,5744220002,13,366,6678
0,"Arden, Herefordshire and Worcestershire AT",Q53,3679,62,0,CV6 1HR,201907,54777,IDH Limited,1485002.62,976,1485002.62,3897,E01009628,115,1014350102,13,603,12760
2,Birmingham and The Black Country AT,Q54,1664.2,43,0,DY8 3PA,201907,23507,MR JE SWINSCOE,680351.98,590,680351.98,1493,E01009905,66,8580640001,12,157,5825
0,Birmingham and The Black Country AT,Q54,10051.8,369,251,B64 5HJ,201907,97227,"Balbir S Bhandal, Amrik S Bhandal & Baljit S Bhandal",2998380.11,865,2998380.11,4045,E01009953,209,6386330020,20,1496,20798
0,Birmingham and The Black Country AT,Q54,3102,113,0,WV2 3DN,201907,33459,Dudley Road Dental Practice,912213.5,485,912213.5,2752,E01010428,85,1002670000,17,376,7527
0,West Yorkshire AT,Q52,1620.6,24,0,HD1 4EN,201907,18600,Greenhead Dental Practice Limited,489766.56,575,489766.56,1649,E01011232,43,1619420001,13,230,4150
0,West Yorkshire AT,Q52,1473.4,26,0,LS15 8DZ,201907,21490,MR WS MALACH,646275.7,557,646275.7,1034,E01011409,7,2310100001,28,195,5229
0,West Yorkshire AT,Q52,2135.4,36,0,WF11 8EB,201907,22272,MR A HUSSAIN,669194.14,605,669194.14,1638,E01011808,67,7219800004,12,337,5900
1,"Durham, Darlington and Tees AT",Q45,3018.4,99,0,TS26 8DD,201907,60590,Hartlepool Dental Practice Partnership,1437711.21,719,1437711.21,1969,E01011977,52,1860070001,18,344,8116
0,"Durham, Darlington and Tees AT",Q45,2676.8,89,0,TS25 1RR,201907,33811,MR ND SMITH,830727.79,699,830727.79,2170,E01011987,116,3281460001,36,234,8814
0,"Durham, Darlington and Tees AT",Q45,4292.6,142,123.2,TS5 5PH,201907,47398,MR DC DANIELS,1325645.16,922,1325645.16,3289,E01012057,293,9218900001,14,430,11727
0,"Durham, Darlington and Tees AT",Q45,3080,75,217,TS6 0NQ,201907,38100,Normanby Dental,1151775.64,788,1151775.64,2308,E01012145,120,1440020001,16,408,9292
1,"Durham, Darlington and Tees AT",Q45,3625.2,82,0,TS19 9JW,201907,42999,Mr Michael Stanley Hulley,1066927.61,927,1066927.61,4289,E01012249,256,5699920001,21,453,9672
